case,N,r,M,rates0_c0,rates1_c0,rates0_c0.1,rates1_c0.1,rates0_c1,rates1_c1,rates0_c10,rates1_c10,onset0_c0,onset1_c0,persistence0_c0,persistence1_c0,onset0_c0.1,onset1_c0.1,persistence0_c0.1,persistence1_c0.1,onset0_c1,onset1_c1,persistence0_c1,persistence1_c1,onset0_c10,onset1_c10,persistence0_c10,persistence1_c10
"state-(0.02,0.3)",500,25,87,0.011270277014723879,0.3269392711945139,0.0113862623662276,0.3268687790458088,0.012458485160103835,0.3262493670171753,0.02107284094178212,0.3203399203635299,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,26,82,0.019675618076139975,0.27518513894595825,0.019708480769523994,0.27515637002976695,0.020656565247460505,0.2746773699888294,0.028978254327201074,0.2702639255780375,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,27,93,0.03532579666773626,0.3391710767884266,0.03540138953169546,0.3391049171277851,0.03607654855633143,0.3385114391174634,0.04241382930337122,0.3328045799387321,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,28,82,0.006980437082460773,0.3343747511534621,0.007077540383766165,0.33428533684431067,0.007867392458420268,0.3334945296975632,0.01459738930523125,0.3263645635642705,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,29,53,0.020899975265010307,0.2963694394500218,0.020932090329863047,0.2962363277551308,0.021215025917585402,0.29504313643762786,0.02395693867293694,0.2839066868890389,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,30,68,0.0052772923499350005,0.31292749295655403,0.005365757946202427,0.3128153778234202,0.006211829257790296,0.31179059481536625,0.01285253159085814,0.3028760436867417,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,31,90,0.020542014755674007,0.3095655069528805,0.0206370809333433,0.30951062969412213,0.021482966581905866,0.3090197970590269,0.02921894721825233,0.3043631848144667,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,32,70,0.034874209257850924,0.23489431688793927,0.03492948134080482,0.23485132115465346,0.03542413941949387,0.2344661634054749,0.04011253923848786,0.23078336321975296,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,33,63,0.020502177878188033,0.26428731625361923,0.02056366347780912,0.2642057355627148,0.021371727822678113,0.26330694991434545,0.028157751133797548,0.2552129164095335,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,34,61,0.02577583586622686,0.2753199364813259,0.025821811701134838,0.27522419847098184,0.02623117675839968,0.27437222097246866,0.030205375688609103,0.26620482619470986,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,35,98,0.00496354167242825,0.360227466503538,0.0051786026171938455,0.36012682456623263,0.007168207011686501,0.3592113022843426,0.021871359205355715,0.3511473359344873,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,36,98,0.0540607960214697,0.2698860488098402,0.05416549874912303,0.2698576222385358,0.05516716378882819,0.26956016882478223,0.0643369607693658,0.2667486052083653,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,37,89,0.02127445697334213,0.2958284009981116,0.021395048624575808,0.2957760411467817,0.022451864651479102,0.2953065844254401,0.031322989029318335,0.2908001291233891,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,38,50,0.012458943682214674,0.2905437867698015,0.012497142953003032,0.29040886744385247,0.012836478983935062,0.28920390979841104,0.01592652984926363,0.2779866533810806,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,39,64,0.015451757173848397,0.3058936676866743,0.01551690000133554,0.305778304375051,0.016128438031630922,0.30473136989150934,0.02152650928783685,0.2950853119534287,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,40,65,0.032892178512857355,0.25802049500379864,0.03293659434918845,0.25795337567457216,0.033335496497805504,0.2573526737439029,0.03709638917278302,0.2516462166086559,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,41,102,0.0194697857290586,0.3376313163513359,0.01960341543063578,0.33757164767234143,0.02078178854110229,0.3370394450087933,0.031114503226814073,0.33206873186949715,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,42,68,0.01635854419366587,0.30073829378726946,0.016424450506256776,0.3006628894963613,0.016919077057400155,0.2998356472707774,0.021598770648993643,0.2921984042683327,,,,,,,,,,,,,,,,
"state-(0.02,0.3)",500,43,75,0.011752881652954343,0.34850403656847145,0.01184097950276908,0.3483864774564182,0.012425746999309298,0.34740269836627097,0.017898910833105672,0.3381143784299369,,,,,,,,,,,,,,,,
