study,rate,method,spike_last,n,rmse,mse,mae,crps,crps_gauss,cov50,cov80,cov95,w95
pmc_gauss_k2,0.05,pmc_state_K2|clean,False,947,0.92714,0.85959,0.67325,0.4835,0.49331,0.45723,0.78669,0.95354,3.8477
pmc_gauss_k2,0.05,pmc_state_K2|clean,True,43,0.93647,0.87697,0.65274,0.45633,0.48555,0.51163,0.7907,0.95349,3.8276
pmc_gauss_k2,0.05,pmc_state_K2|raw+gate,False,947,1.0351,1.0715,0.77869,0.51165,0.67145,0.49314,0.86061,0.96515,8.9651
pmc_gauss_k2,0.05,pmc_state_K2|raw+gate,True,43,1.7131,2.9348,1.4291,0.94188,1.0074,0.34884,0.76744,0.95349,9.9413
pmc_gauss_k2,0.05,pmc_state_K2|raw,False,947,1.0351,1.0715,0.77869,0.51165,0.67145,0.49314,0.86061,0.96515,8.9651
pmc_gauss_k2,0.05,pmc_state_K2|raw,True,43,1.7131,2.9348,1.4291,0.94188,1.0074,0.34884,0.76744,0.95349,9.9413
pmc_gauss_k2,0.05,pmc_state_K2|robust+gate,False,947,1.0348,1.0708,0.77867,0.51159,0.6712,0.49208,0.86061,0.96515,8.9603
pmc_gauss_k2,0.05,pmc_state_K2|robust+gate,True,43,1.7145,2.9394,1.4304,0.94233,1.0087,0.34884,0.76744,0.95349,9.9464
pmc_gauss_k2,0.05,pmc_state_K2|robust,False,947,1.0348,1.0708,0.77867,0.51159,0.6712,0.49208,0.86061,0.96515,8.9603
pmc_gauss_k2,0.05,pmc_state_K2|robust,True,43,1.7145,2.9394,1.4304,0.94233,1.0087,0.34884,0.76744,0.95349,9.9464
pmc_gauss_k2,0.05,pmc_state_K2|hampel+gate,False,947,0.93359,0.87159,0.67787,0.48683,0.49662,0.45301,0.78669,0.94931,3.8358
pmc_gauss_k2,0.05,pmc_state_K2|hampel+gate,True,43,1.3423,1.8018,0.97225,0.70289,0.72199,0.46512,0.72093,0.95349,4.4777
pmc_gauss_k2,0.05,ar1|raw,False,947,1.206,1.4545,0.98218,0.77203,0.77203,0.78141,0.98944,0.99894,8.903
pmc_gauss_k2,0.05,ar1|raw,True,43,2.9497,8.7008,2.6391,1.7905,1.7905,0.27907,0.48837,0.95349,8.8825
pmc_gauss_k2,0.05,ar1|raw+gate,False,947,1.206,1.4545,0.98218,0.77203,0.77203,0.78141,0.98944,0.99894,8.903
pmc_gauss_k2,0.05,ar1|raw+gate,True,43,2.3444,5.496,1.8935,1.3468,1.3468,0.53488,0.69767,0.97674,9.084
pmc_gauss_k2,0.05,ar1|robust+gate,False,947,1.0621,1.1281,0.74227,0.5503,0.5503,0.4963,0.78881,0.8944,3.1035
pmc_gauss_k2,0.05,ar1|robust+gate,True,43,1.3396,1.7944,0.941,0.71238,0.71238,0.48837,0.76744,0.90698,3.9974
pmc_gauss_k2,0.05,persistence|raw,False,947,0.98567,0.97154,0.68147,0.54052,,0.53221,0.87962,1,17.03
pmc_gauss_k2,0.05,persistence|raw,True,43,8.6107,74.144,8.5585,7.3982,,0,0,0.46512,17.046
pmc_gauss_k2,0.05,ar1|clean,False,947,0.92761,0.86046,0.67403,0.49445,0.49445,0.57656,0.86484,0.93664,3.5902
pmc_gauss_k2,0.05,ar1|clean,True,43,0.93439,0.87309,0.65572,0.4832,0.4832,0.60465,0.83721,0.97674,3.6046
pmc_gauss_k2,0.05,persistence|clean,False,947,0.98567,0.97154,0.68147,0.50657,,0.47624,0.77719,0.94298,4.1001
pmc_gauss_k2,0.05,persistence|clean,True,43,0.90399,0.8172,0.57452,0.43647,,0.53488,0.86047,0.97674,4.1494
hmc_in_gauss_k2,0,pmm|raw,False,990,1.2163,1.4795,0.98412,0.68902,0.68902,0.49798,0.82626,0.95051,4.9482
hmc_in_gauss_k2,0,pmm_default|raw,False,990,1.2163,1.4795,0.98412,0.68902,0.68902,0.49798,0.82626,0.95051,4.9482
hmc_in_gauss_k2,0.01,pmm|raw,False,985,1.2306,1.5144,0.9988,0.70762,0.70762,0.59086,0.90152,0.98782,6.0818
hmc_in_gauss_k2,0.01,pmm_default|raw,False,985,1.2306,1.5144,0.9988,0.70762,0.70762,0.59086,0.90152,0.98782,6.0818
hmc_in_gauss_k2,0.01,pmm|raw,True,5,1.7047,2.9059,1.5674,1.0128,1.0128,0.2,0.8,1,6.0417
hmc_in_gauss_k2,0.01,pmm_default|raw,True,5,1.7047,2.9059,1.5674,1.0128,1.0128,0.2,0.8,1,6.0417
hmc_in_gauss_k2,0.05,pmm|raw,False,940,1.3096,1.7151,1.0601,0.81228,0.81228,0.74255,0.97447,1,8.9101
hmc_in_gauss_k2,0.05,pmm|raw,True,50,1.8827,3.5447,1.6133,1.0942,1.0942,0.54,0.88,1,8.9312
hmc_in_gauss_k2,0.05,pmm_default|raw,False,940,1.3096,1.7151,1.0601,0.81228,0.81228,0.74255,0.97447,1,8.9101
hmc_in_gauss_k2,0.05,pmm_default|raw,True,50,1.8827,3.5447,1.6133,1.0942,1.0942,0.54,0.88,1,8.9312
pmc_gauss_k2,0,pmm|raw,False,990,0.92895,0.86295,0.67484,0.49515,0.49515,0.57374,0.86566,0.94141,3.587
pmc_gauss_k2,0,pmm_default|raw,False,990,0.92905,0.86313,0.67424,0.4951,0.4951,0.57374,0.86465,0.94141,3.5872
pmc_gauss_k2,0.01,pmm|raw,False,978,0.99226,0.98457,0.76076,0.56846,0.56846,0.69121,0.9274,0.98466,5.3314
pmc_gauss_k2,0.01,pmm_default|raw,False,978,0.99226,0.98457,0.76076,0.56846,0.56846,0.69121,0.9274,0.98466,5.3314
pmc_gauss_k2,0.01,pmm|raw,True,12,3.8422,14.762,3.7677,3.0233,3.0233,0,0,0.083333,5.2211
pmc_gauss_k2,0.01,pmm_default|raw,True,12,3.8422,14.762,3.7677,3.0233,3.0233,0,0,0.083333,5.2211
pmc_gauss_k2,0.05,pmm|raw,False,947,1.1818,1.3966,0.92891,0.75378,0.75378,0.78986,0.98522,0.99894,8.7161
pmc_gauss_k2,0.05,pmm|raw,True,43,2.3593,5.5665,2.0619,1.3797,1.3797,0.32558,0.76744,0.97674,8.7002
pmc_gauss_k2,0.05,pmm_default|raw,False,947,1.1818,1.3966,0.92891,0.75378,0.75378,0.78986,0.98522,0.99894,8.7161
pmc_gauss_k2,0.05,pmm_default|raw,True,43,2.3593,5.5665,2.0619,1.3797,1.3797,0.32558,0.76744,0.97674,8.7002
