task_id,task,wall_s
pamap2_102_complete__K3__hmc_in__complete__s0__ead4288d,fit,0.7485400000005029
pamap2_102_complete__K3__hmc_in__complete__s1__54eeac03,fit,0.8001024999975925
pamap2_102_complete__K3__hmc_in__complete__s2__0c6a3692,fit,0.759638667001127
pamap2_102_complete__K3__pmc_pair__complete__s0__43b024b8,fit,30.121858124999562
pamap2_102_complete__K3__pmc_pair__complete__s1__bd2a8daf,fit,14.679063042000053
pamap2_102_complete__K3__pmc_pair__complete__s2__e8443435,fit,19.329585041999962
pamap2_102_complete__K3__pmc_state__complete__s0__4b49282b,fit,9.977132584001083
pamap2_102_complete__K3__pmc_state__complete__s1__01b2b737,fit,6.787694708000345
pamap2_102_complete__K3__pmc_state__complete__s2__4a9af230,fit,9.048468625001988
pamap2_102_gapped__K2__hmc_in__available__s0__6f2fc2b1,fit,0.510998624999047
pamap2_102_gapped__K2__hmc_in__available__s1__9808b4a5,fit,0.47760987499714247
pamap2_102_gapped__K2__hmc_in__available__s2__0b04b8ef,fit,0.5131790839986934
pamap2_102_gapped__K2__hmc_in__impute__s0__cda068a0,fit,1.7770741249987623
pamap2_102_gapped__K2__hmc_in__impute__s1__ce75e15a,fit,1.4513692919972527
pamap2_102_gapped__K2__hmc_in__impute__s2__f56d78e6,fit,2.1240098340022087
pamap2_102_gapped__K2__hmc_in__sem__s0__2d6ef187,fit,3.6340682080008264
pamap2_102_gapped__K2__hmc_in__sem__s1__ec7ee30e,fit,3.6228118330000143
pamap2_102_gapped__K2__hmc_in__sem__s2__141d3451,fit,3.6767330410002614
pamap2_102_gapped__K2__pmc_pair__available__s0__dfc80256,fit,9.237413332997676
pamap2_102_gapped__K2__pmc_pair__available__s1__9f019ad0,fit,8.217633332998957
pamap2_102_gapped__K2__pmc_pair__available__s2__095f69dd,fit,2.8789416660001734
pamap2_102_gapped__K2__pmc_pair__impute__s0__9a610361,fit,27.341153624998697
pamap2_102_gapped__K2__pmc_pair__impute__s1__a20c9ad1,fit,33.25080070900003
pamap2_102_gapped__K2__pmc_pair__impute__s2__0b1c65b5,fit,10.170610583998496
pamap2_102_gapped__K2__pmc_pair__sem__s0__f4a7ee76,fit,11.458701291998295
pamap2_102_gapped__K2__pmc_pair__sem__s1__66756b06,fit,11.3842587500003
pamap2_102_gapped__K2__pmc_pair__sem__s2__294bf3f3,fit,11.372143042000971
pamap2_102_gapped__K2__pmc_state__available__s0__e66af06e,fit,3.289761666997947
pamap2_102_gapped__K2__pmc_state__available__s1__d7ea72e1,fit,2.424461416001577
pamap2_102_gapped__K2__pmc_state__available__s2__a244d4f6,fit,3.162472916999832
pamap2_102_gapped__K2__pmc_state__impute__s0__4fbe1a17,fit,12.88819175000026
pamap2_102_gapped__K2__pmc_state__impute__s1__00da9412,fit,10.471858583998255
pamap2_102_gapped__K2__pmc_state__impute__s2__2f918f7a,fit,13.22931950000202
pamap2_102_gapped__K2__pmc_state__sem__s0__a2aaba57,fit,11.793140040997969
pamap2_102_gapped__K2__pmc_state__sem__s1__2f100047,fit,12.04650649999894
pamap2_102_gapped__K2__pmc_state__sem__s2__b620dbec,fit,11.721173000001727
pamap2_102_gapped__K3__hmc_in__available__s0__7042c367,fit,0.843992750000325
pamap2_102_gapped__K3__hmc_in__available__s1__8c528071,fit,0.8930289169984462
pamap2_102_gapped__K3__hmc_in__available__s2__f6385056,fit,0.8525837080014753
pamap2_102_gapped__K3__hmc_in__impute__s0__25538495,fit,4.508814666001854
pamap2_102_gapped__K3__hmc_in__impute__s1__38182ef2,fit,4.916630540999904
pamap2_102_gapped__K3__hmc_in__impute__s2__b7deea01,fit,4.580152167000051
pamap2_102_gapped__K3__hmc_in__sem__s0__77525882,fit,3.670386124998913
pamap2_102_gapped__K3__hmc_in__sem__s1__a7823617,fit,3.6591150839994953
pamap2_102_gapped__K3__hmc_in__sem__s2__0e5057b0,fit,3.7189371250024124
pamap2_102_gapped__K3__pmc_pair__available__s0__3d273a63,fit,19.017688500000077
pamap2_102_gapped__K3__pmc_pair__available__s1__dce3512c,fit,15.279858624999179
pamap2_102_gapped__K3__pmc_pair__available__s2__0f463c9b,fit,31.895953750001354
pamap2_102_gapped__K3__pmc_pair__impute__s0__5b72e07a,fit,47.5432166669998
pamap2_102_gapped__K3__pmc_pair__sem__s0__42316403,fit,21.493397999998706
pamap2_102_gapped__K3__pmc_state__available__s0__a61fbade,fit,10.802666208997834
pamap2_102_gapped__K3__pmc_state__available__s1__4c91aea4,fit,8.018120332999388
pamap2_102_gapped__K3__pmc_state__available__s2__55e25f16,fit,12.206235583998932
pamap2_102_gapped__K3__pmc_state__impute__s0__cb59a3bb,fit,47.25422724999953
pamap2_102_gapped__K3__pmc_state__sem__s0__218f83ae,fit,17.64444579100018
pamap2_105_complete__K2__hmc_in__complete__s0__fa8e6101,fit,1.2256294170001638
