series,K,model,strategy,start,method,gap_class,n,rmse,mae,crps,crps_kind,cov90,width90,impute_s,ar1_params
tsnh4,2,pmc_state,sem,2,pmc_posterior,all,883,0.3128789800772002,0.1953781950675801,0.13485626603201567,samples,0.9297848244620611,0.8846755019318474,0.4170089580002241,
tsnh4,2,pmc_state_gice,available,0,pmc_posterior,1-2,120,0.10097997806593537,0.056945189106720105,0.04422775736500537,samples,0.8833333333333333,0.22328467673859864,0.41421450000052573,
tsnh4,2,pmc_state_gice,available,0,pmc_posterior,3-20,300,0.08738898259482299,0.062111497568263827,0.05013540144958166,samples,0.9333333333333333,0.37400013474142796,0.41421450000052573,
tsnh4,2,pmc_state_gice,available,0,pmc_posterior,>20,463,0.4264373322232957,0.3189767691472894,0.2257815261221355,samples,0.9136069114470843,1.288204623991411,0.41421450000052573,
tsnh4,2,pmc_state_gice,available,0,pmc_posterior,all,883,0.31517073447245947,0.19609639419986472,0.14143238721769408,samples,0.9161947904869762,0.832879889625236,0.41421450000052573,
tsnh4,2,pmc_state_gice,available,1,pmc_posterior,1-2,120,0.09864822750640126,0.05693262449043028,0.043979942797461695,samples,0.9166666666666666,0.24995176160558472,0.4194329999991169,
tsnh4,2,pmc_state_gice,available,1,pmc_posterior,3-20,300,0.08755004144907345,0.06146764144257027,0.053397305128837926,samples,0.95,0.43173296348708257,0.4194329999991169,
tsnh4,2,pmc_state_gice,available,1,pmc_posterior,>20,463,0.47799914077280686,0.345570299909253,0.25238552138599246,samples,0.8768898488120951,1.2350732110648734,0.4194329999991169,
tsnh4,2,pmc_state_gice,available,1,pmc_posterior,all,883,0.35175500995234754,0.2098202222305853,0.15645671696043184,samples,0.9071347678369196,0.8282593399341239,0.4194329999991169,
tsnh4,2,pmc_state_gice,available,2,pmc_posterior,1-2,120,0.10134350727362727,0.05739549635679793,0.04516329120743112,samples,0.9166666666666666,0.2563127682448193,0.41835125000216067,
tsnh4,2,pmc_state_gice,available,2,pmc_posterior,3-20,300,0.08702967282161891,0.062026246607100786,0.055695089842736474,samples,0.94,0.4512640752458496,0.41835125000216067,
tsnh4,2,pmc_state_gice,available,2,pmc_posterior,>20,463,0.49756142137665843,0.35588533407858447,0.24810527282840772,samples,0.8941684665226782,1.3648456427913305,0.41835125000216067,
tsnh4,2,pmc_state_gice,available,2,pmc_posterior,all,883,0.3657605077065665,0.21548158915439478,0.1551538654782168,samples,0.912797281993205,0.9038055349666129,0.41835125000216067,
tsnh4,2,pmc_state_gice,impute,0,pmc_posterior,1-2,120,0.10153162276845865,0.05728242235833949,0.04403726613519533,samples,0.9166666666666666,0.2558113258251782,0.41750354199757567,
tsnh4,2,pmc_state_gice,impute,0,pmc_posterior,3-20,300,0.08805238324188924,0.0622290016721696,0.05228075138963676,samples,0.9166666666666666,0.38844247976200613,0.41750354199757567,
tsnh4,2,pmc_state_gice,impute,0,pmc_posterior,>20,463,0.5908556066996955,0.4086786297150061,0.3038560288815376,samples,0.9222462203023758,1.791671494516567,0.41750354199757567,
tsnh4,2,pmc_state_gice,impute,0,pmc_posterior,all,883,0.4325398380023859,0.243217210354133,0.18307365654050556,samples,0.9195922989807475,1.1061993261481242,0.41750354199757567,
tsnh4,2,pmc_state_gice,sem,0,pmc_posterior,1-2,120,0.10185993869905156,0.05709938075438977,0.045206048524310656,samples,0.9083333333333333,0.22546554272856342,0.41967066600045655,
tsnh4,2,pmc_state_gice,sem,0,pmc_posterior,3-20,300,0.08723445122958753,0.062080291641733364,0.0506544739037014,samples,0.94,0.38023626230793356,0.41967066600045655,
tsnh4,2,pmc_state_gice,sem,0,pmc_posterior,>20,463,0.37387213694897614,0.28703474042670585,0.1999256266569256,samples,0.9352051835853131,1.332747134061443,0.41967066600045655,
tsnh4,2,pmc_state_gice,sem,0,pmc_posterior,all,883,0.2780092676785647,0.17935798188064733,0.12818418248718488,samples,0.9331823329558324,0.8586508118802443,0.41967066600045655,
tsnh4,3,hmc_in,available,0,pmc_posterior,1-2,120,0.35555123982354964,0.28849889409747054,0.19177426796820676,samples,0.9666666666666667,1.1765827404105584,0.13568562499858672,
tsnh4,3,hmc_in,available,0,pmc_posterior,3-20,300,0.388594073942115,0.2913133442958066,0.20640038547465883,samples,0.9233333333333333,1.2842484540364831,0.13568562499858672,
tsnh4,3,hmc_in,available,0,pmc_posterior,>20,463,0.5083967789404743,0.38747338286116445,0.27656111906492264,samples,0.9740820734341252,1.9464323974261086,0.13568562499858672,
tsnh4,3,hmc_in,available,0,pmc_posterior,all,883,0.4516760799105403,0.34135226143279457,0.2412013883642601,samples,0.9558323895809739,1.616832010270102,0.13568562499858672,
tsnh4,3,hmc_in,available,1,pmc_posterior,1-2,120,0.35554504772112777,0.28851422161880824,0.19269916139902493,samples,0.9666666666666667,1.1766757828029744,0.1360460419964511,
tsnh4,3,hmc_in,available,1,pmc_posterior,3-20,300,0.3883657665904843,0.2911989495741375,0.2044661078411835,samples,0.9266666666666666,1.2842079429217546,0.1360460419964511,
tsnh4,3,hmc_in,available,1,pmc_posterior,>20,463,0.5077016207080046,0.3871646654612085,0.2769337256469822,samples,0.9740820734341252,1.9462911772806966,0.1360460419964511,
tsnh4,3,hmc_in,available,1,pmc_posterior,all,883,0.4511984513497961,0.3411536031427381,0.24086528504506316,samples,0.956964892412231,1.6167568424618866,0.1360460419964511,
tsnh4,3,hmc_in,available,2,pmc_posterior,1-2,120,0.35555338098563755,0.2884945972295475,0.19331338061427625,samples,0.9666666666666667,1.1765524816967272,0.1387992089985346,
tsnh4,3,hmc_in,available,2,pmc_posterior,3-20,300,0.38866798911899164,0.29135316749757567,0.20637543884472037,samples,0.9233333333333333,1.2842563750700473,0.1387992089985346,
tsnh4,3,hmc_in,available,2,pmc_posterior,>20,463,0.5086312707584675,0.3875767704690852,0.2779917467684616,samples,0.9740820734341252,1.946479616799384,0.1387992089985346,
tsnh4,3,hmc_in,available,2,pmc_posterior,all,883,0.45183631601010504,0.3414194186228821,0.24215222659221627,samples,0.9558323895809739,1.6168553487007205,0.1387992089985346,
