config,criterion,run,i,j,true,sel,hit
exp2_orig_p,huard_global,5,0,0,Student,Student,1
exp2_orig_p,huard_global,5,0,1,CubSec,Student,0
exp2_orig_p,huard_global,5,1,0,CubSec,Student,0
exp2_orig_p,huard_global,5,1,1,Clayton,Clayton,1
exp2_orig_p,huard_global,6,0,0,Student,Student,1
exp2_orig_p,huard_global,6,0,1,CubSec,Student,0
exp2_orig_p,huard_global,6,1,0,CubSec,Student,0
exp2_orig_p,huard_global,6,1,1,Clayton,Clayton,1
exp2_orig_p,huard_global,7,0,0,Student,Student,1
exp2_orig_p,huard_global,7,0,1,CubSec,Student,0
exp2_orig_p,huard_global,7,1,0,CubSec,Student,0
exp2_orig_p,huard_global,7,1,1,Clayton,Clayton,1
exp2_orig_p,huard_global,8,0,0,Student,Student,1
exp2_orig_p,huard_global,8,0,1,CubSec,Student,0
exp2_orig_p,huard_global,8,1,0,CubSec,Clayton,0
exp2_orig_p,huard_global,8,1,1,Clayton,Clayton,1
exp2_orig_p,huard_global,9,0,0,Student,Student,1
exp2_orig_p,huard_global,9,0,1,CubSec,Student,0
exp2_orig_p,huard_global,9,1,0,CubSec,Student,0
exp2_orig_p,huard_global,9,1,1,Clayton,Clayton,1
exp2_orig_p,huard_global,10,0,0,Student,Student,1
exp2_orig_p,huard_global,10,0,1,CubSec,Student,0
exp2_orig_p,huard_global,10,1,0,CubSec,Student,0
exp2_orig_p,huard_global,10,1,1,Clayton,Clayton,1
exp2_orig_p,huard_global,11,0,0,Student,Student,1
exp2_orig_p,huard_global,11,0,1,CubSec,Student,0
exp2_orig_p,huard_global,11,1,0,CubSec,Student,0
exp2_orig_p,huard_global,11,1,1,Clayton,Clayton,1
exp2_orig_p,huard_global,12,0,0,Student,Student,1
exp2_orig_p,huard_global,12,0,1,CubSec,Student,0
exp2_orig_p,huard_global,12,1,0,CubSec,Student,0
exp2_orig_p,huard_global,12,1,1,Clayton,Clayton,1
exp2_orig_p,huard_global,13,0,0,Student,Student,1
exp2_orig_p,huard_global,13,0,1,CubSec,Student,0
exp2_orig_p,huard_global,13,1,0,CubSec,Student,0
exp2_orig_p,huard_global,13,1,1,Clayton,Clayton,1
exp2_orig_p,huard_global,14,0,0,Student,Student,1
exp2_orig_p,huard_global,14,0,1,CubSec,Student,0
